,road,county,city,state
12824,McNeill Circle,Yolo County,,California
12825,Rose Street,Alameda County,Berkeley,California
12826,Cortland Avenue,,San Francisco,California
12827,Leona Avenue,San Luis Obispo County,San Luis Obispo,California
12828,Redrock Court,Los Angeles County,Los Angeles,California
12829,Phantom Street,San Bernardino County,Victorville,California
12830,Glen Alpine Road,Alameda County,,California
12831,Tioga Way,Sacramento County,,California
12832,Northfield Drive,Sacramento County,Sacramento,California
12833,Baldwin Avenue,Los Angeles County,,California
12834,Brush Street,Mendocino County,,California
12835,West 48th Street,Los Angeles County,Los Angeles,California
12836,West Maple Avenue,Orange County,Orange,California
12837,Foothill Boulevard,Los Angeles County,Los Angeles,California
12838,South Mountain View Street,Tulare County,,California
12839,West San Bernardino Road,Los Angeles County,West Covina,California
12840,Noble Avenue,Kern County,Bakersfield,California
12841,Effie Street,Los Angeles County,Los Angeles,California
12842,Haven Street,Kern County,,California
12843,West Washington Boulevard,Los Angeles County,Los Angeles,California
12844,Requa Road,Alameda County,,California
12845,Sierra Madre Road,Santa Barbara County,,California
12846,Telegraph Road,Ventura County,Ventura,California
12847,West Roseburg Avenue,Stanislaus County,Modesto,California
12848,Bender Avenue,Los Angeles County,,California
12849,General Jim Moore Boulevard,Monterey County,Seaside,California
12850,Whipple Road,Alameda County,,California
12851,Woods Road,Sacramento County,,California
12852,Shadow Rock Drive,Placer County,,California
12853,Serpentine Trail,Marin County,,California
12854,Sunset Loop,Alameda County,Oakland,California
12855,North Angeleno Avenue,Los Angeles County,,California
12856,Edmund Avenue,Sonoma County,,California
12857,Contreras Street,Los Angeles County,,California
12858,Louise Avenue,Los Angeles County,Los Angeles,California
12859,Louise Avenue,Los Angeles County,Los Angeles,California
12860,East Bennett Avenue,Los Angeles County,,California
12861,Rajah Street,Los Angeles County,Los Angeles,California
12862,Fairhaven Drive,Riverside County,Riverside,California
12863,Caminito Canasto,San Diego County,San Diego,California
12864,West Washington Boulevard,Los Angeles County,Los Angeles,California
12865,Union Avenue,Santa Clara County,San Jose,California
12866,Beach Boulevard,Orange County,Huntington Beach,California
12867,Luiz Fire Road,Marin County,,California
12868,Cumbre Drive,Los Angeles County,Los Angeles,California
12869,Glencoe Avenue,Los Angeles County,Los Angeles,California
12870,Ventura Freeway,Ventura County,Ventura,California
12871,Pleasant View Avenue,Riverside County,Corona,California
12872,Elm Street,Contra Costa County,,California
12873,Roselle Avenue,Stanislaus County,,California
12874,East Saint John's Parkway,Tulare County,Visalia,California
12875,Stevens Canyon Road,Santa Clara County,,California
12876,Fairfax Avenue,Los Angeles County,Los Angeles,California
12877,Roosevelt Avenue,Contra Costa County,Richmond,California
12878,Carnell Street,Los Angeles County,,California
12879,25th Street,San Diego County,San Diego,California
12880,North Street,San Joaquin County,,California
12881,Paseo Nuevo Drive,Los Angeles County,Los Angeles,California
12882,40th Street,Contra Costa County,Richmond,California
12883,Kurt Avenue,Los Angeles County,,California
12884,West Rose Avenue,Fresno County,,California
12885,Ficus Street,San Bernardino County,,California
12886,Lisa Way,Santa Barbara County,,California
12887,Durian Street,San Diego County,Vista,California
12888,Daphne Avenue,Los Angeles County,,California
12889,Perkins Avenue,Butte County,,California
12890,Cesar E Chavez Avenue,Los Angeles County,,California
12891,3rd Avenue,San Diego County,Chula Vista,California
12892,Pope Avenue,Ventura County,Simi Valley,California
12893,Redwood Lane,Fresno County,,California
12894,Hiawatha Street,Los Angeles County,Los Angeles,California
12895,Cory Drive,Los Angeles County,Inglewood,California
12896,Petaluma Boulevard North,Sonoma County,Petaluma,California
12897,Luna Bonita Drive,Orange County,,California
12898,Expo Bike Path,Los Angeles County,Santa Monica,California
12899,Louise Avenue,Los Angeles County,Los Angeles,California
12900,Ridge Lane,Santa Barbara County,Santa Barbara,California
12901,Quakertown Avenue,Los Angeles County,Los Angeles,California
12902,Foothill Boulevard,Los Angeles County,Los Angeles,California
12903,,San Diego County,,California
12904,Sky Parkway,Sacramento County,Elk Grove,California
12905,Leyendekker Court,San Diego County,,California
12906,South Conyer Court,Tulare County,Visalia,California
12907,Rodeo Place,Los Angeles County,Los Angeles,California
12908,Vista Camino,San Diego County,,California
12909,Middle Ranch Road,Monterey County,,California
12910,Marlay Drive,Los Angeles County,Los Angeles,California
12911,Mesa Drive,San Bernardino County,,California
12912,East Dominguez Street,Los Angeles County,Carson,California
12913,Longridge Road,Alameda County,Oakland,California
12914,Gaton Drive,Santa Clara County,San Jose,California
12915,San Gabriel River Trail,Los Angeles County,,California
12916,Roleen Drive,Solano County,Vallejo,California
12917,Wesley Circle,Orange County,Huntington Beach,California
12918,Road N7601,Shasta County,,California
12919,Century Freeway,Los Angeles County,,California
12920,Harwood Street,San Diego County,San Diego,California
12921,White Oak Avenue,Los Angeles County,Los Angeles,California
12922,Requa Road,Alameda County,,California
12923,Regency Drive,Santa Clara County,San Jose,California
12924,Glenoaks Boulevard,Los Angeles County,Glendale,California
12925,Brazil Street,Sonoma County,,California
12926,Kittridge Street,Los Angeles County,Los Angeles,California
12927,West Virginia Street,Santa Clara County,San Jose,California
12928,Porter Drive,Santa Clara County,Palo Alto,California
12929,Delta De Anza Regional Trail,Contra Costa County,,California
12930,Fulton Street,,San Francisco,California
12931,East Grand Avenue,San Luis Obispo County,Arroyo Grande,California
12932,Breeze Hill Road,San Diego County,Vista,California
12933,East Lugonia Avenue,San Bernardino County,,California
12934,Alpine Avenue,San Joaquin County,Stockton,California
12935,,San Luis Obispo County,Grover Beach,California
12936,East 17th Street,Orange County,Santa Ana,California
12937,Hydra Lane,San Diego County,San Diego,California
12938,Ocean Park Boulevard,Los Angeles County,Santa Monica,California
12939,South Mountain Road,Ventura County,,California
12940,Eureka Avenue,Yolo County,,California
12941,Southwest Boulevard,Sonoma County,,California
12942,,Shasta County,,California
12943,Camino Tassajara,Contra Costa County,,California
12944,Farna Avenue,Los Angeles County,,California
12945,South Grand Avenue,Los Angeles County,Los Angeles,California
12946,,Mariposa County,,California
12947,,Mendocino County,,California
12948,Mount Holly Lane,Tuolumne County,,California
12949,South Carmel Avenue,Fresno County,,California
12950,Center Street,Kings County,Hanford,California
12951,East 22nd Street,San Diego County,,California
12952,North Ogden Drive,Los Angeles County,,California
12953,Balboa Boulevard,Los Angeles County,Los Angeles,California
12954,Rose Street,Los Angeles County,,California
12955,,Ventura County,Oxnard,California
12956,Greenwich Street,,San Francisco,California
12957,Rivella Vista Drive,Shasta County,Redding,California
12958,Charlesworth Avenue,Los Angeles County,Los Angeles,California
12959,Moorpark Street,Los Angeles County,Los Angeles,California
12960,Corte Lorca,Riverside County,Murrieta,California
12961,Red Hook Trail,El Dorado County,,California
12962,Market Street,Alameda County,Oakland,California
12963,Llevarancho Road,Ventura County,Simi Valley,California
12964,East Imperial Highway,Los Angeles County,,California
12965,East Norris Road,Kern County,,California
12966,Garden Grove Avenue,Los Angeles County,Los Angeles,California
12967,Molokai Way,Sacramento County,,California
12968,South Kerckhoff Avenue,Los Angeles County,Los Angeles,California
12969,Douglas Street,San Diego County,Chula Vista,California
12970,San Gabriel River Trail,Los Angeles County,,California
12971,East Altadena Drive,Los Angeles County,,California
12972,Lakeside,Orange County,Irvine,California
12973,Rodgers Road,Kings County,Hanford,California
12974,,Solano County,,California
12975,Wilma Street,Los Angeles County,Torrance,California
12976,El Camino Real,Santa Barbara County,Santa Maria,California
12977,East Miraloma Avenue,Orange County,Anaheim,California
12978,Shorb Street,Los Angeles County,,California
12979,Mendocino Drive,San Diego County,Chula Vista,California
12980,Lagunitas Avenue,Alameda County,Oakland,California
12981,Spence Avenue,Santa Clara County,Milpitas,California
12982,Cottage Grove Avenue,San Mateo County,San Mateo,California
12983,James Lick Freeway,,San Francisco,California
12984,West 65th Place,Los Angeles County,Los Angeles,California
12985,Pioneer Trail,El Dorado County,,California
12986,,Contra Costa County,,California
12987,West California Avenue,Los Angeles County,Glendale,California
12988,Castilla Lane,Orange County,Mission Viejo,California
12989,South La Tijera Boulevard,Los Angeles County,Los Angeles,California
12990,Cherry Avenue,Santa Clara County,San Jose,California
12991,North Ridge Trail,Orange County,,California
12992,South 7th Avenue,Butte County,,California
12993,North Emerson Avenue,Fresno County,Fresno,California
12994,North Indian Canyon Drive,Riverside County,,California
12995,West Pico Boulevard,Los Angeles County,Los Angeles,California
12996,Tennessee Street,Solano County,Vallejo,California
12997,Pontiac Drive,San Diego County,Carlsbad,California
12998,,Santa Barbara County,,California
12999,Calle Mendoza,Riverside County,,California
13000,Roadrunner Drive,Kern County,Bakersfield,California
13001,3rd Avenue,San Diego County,Chula Vista,California
13002,Rancho Road,Yuba County,,California
13003,South Yale Street,Riverside County,,California
13004,CA 99,Fresno County,Fresno,California
13005,Hawley Boulevard,San Diego County,San Diego,California
13006,G Street,Alameda County,,California
13007,Prairie Flower Road,Stanislaus County,,California
13008,Skyline Drive,Los Angeles County,Los Angeles,California
13009,,Los Angeles County,El Monte,California
13010,Rossi Road,Mendocino County,,California
13011,West Myrrh Street,Los Angeles County,,California
13012,,Lake County,Middletown,California
13013,Blue Lake South,Orange County,Irvine,California
13014,Columbia Avenue,Los Angeles County,Los Angeles,California
13015,Cattleya Drive,Contra Costa County,San Ramon,California
13016,East Mesquite Avenue,Riverside County,Palm Springs,California
13017,Murmuring Trees,Los Angeles County,Los Angeles,California
13018,Panchita Way,Santa Clara County,,California
13019,Shortridge Avenue,Santa Clara County,San Jose,California
13020,Heidi Circle,San Diego County,Vista,California
13021,Wilson Terrace,Los Angeles County,Glendale,California
13022,Cutler Avenue,Los Angeles County,Baldwin Park,California
13023,A Street,Contra Costa County,,California
13024,Sardis Avenue,Los Angeles County,Los Angeles,California
13025,Claus Road,Stanislaus County,Modesto,California
13026,Old River Road,Mendocino County,,California
13027,South Lima Street,Los Angeles County,Sierra Madre,California
13028,Bank Street,Los Angeles County,,California
13029,Monterey Street,San Luis Obispo County,San Luis Obispo,California
13030,Borson Street,Los Angeles County,Downey,California
